"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"24 May 2026 8:20:15 am UTC","27129830212","Shipping Services","405-9829301-6872329","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:20:16 am UTC","27129830212","Order","406-8070351-2950723","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","JHARIA","JHARKHAND","828110","185.71","0","0","0","9.29","0","0","-0.93","0","0","0","-1.18","0","192.89","Deferred",
"24 May 2026 8:20:17 am UTC","27175509832","Shipping Services","407-5069204-2913915","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","3 Jun 2026 7:55:00 am UTC"
"24 May 2026 8:20:17 am UTC","27129830212","Shipping Services","404-3357403-3611542","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:20:40 am UTC","27129776332","Shipping Services","407-7175714-3885111","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:20:42 am UTC","27175509832","Shipping Services","171-4926031-2598738","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","3 Jun 2026 7:40:09 am UTC"
"24 May 2026 8:20:48 am UTC","27129776332","Shipping Services","407-0368333-7589930","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:21:02 am UTC","27129830212","Shipping Services","404-2151762-2067548","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:21:21 am UTC","27129776332","Shipping Services","407-0694687-7664354","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:21:31 am UTC","27129830212","Shipping Services","406-8070351-2950723","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Deferred",
"24 May 2026 8:22:59 am UTC","27175509832","Shipping Services","405-5057316-4179527","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","4 Jun 2026 5:14:39 am UTC"
"24 May 2026 8:26:35 am UTC","27175655182","Order","405-8732698-2835524","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PRAYAGRAJ","UTTAR PRADESH","211002","489.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","463.04","Released","4 Jun 2026 7:48:48 am UTC"
"24 May 2026 8:27:51 am UTC","27175655182","Shipping Services","405-8732698-2835524","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-60.18","0","-60.18","Released","4 Jun 2026 8:10:28 am UTC"
"24 May 2026 9:37:16 am UTC","27129776332","Service Fee","","","Cost of Advertising","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","-2,016.60","-362.99","-2,379.59","Released","24 May 2026 9:37:16 am UTC"
"24 May 2026 5:15:05 pm UTC","27129776332","Shipping Services","404-7971946-8758745","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","64.90","0","64.90","Deferred",
"24 May 2026 5:29:48 pm UTC","27129776332","Refund","404-7971946-8758745","MKIT25","Dr. Morepen Gluco One BG03 Glucometer (25 Free Test Strips)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NAVI MUMBAI","MAHARASHTRA","410208","-450.48","0","0","0","-22.52","0","0","2.25","0","0","0","25.96","0","-444.79","Deferred",
"25 May 2026 1:58:47 am UTC","27129776332","Shipping Services","403-6749293-5081934","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","64.90","0","64.90","Deferred",
"25 May 2026 2:14:17 am UTC","27129776332","Refund","403-6749293-5081934","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLLAM","KERALA","691508","-170.48","0","0","0","-8.52","0","0","0.85","0","0","0","1.18","0","-176.97","Deferred",
"25 May 2026 8:31:07 am UTC","27129776332","Order","406-7657260-5875553","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BENGALURU","KARNATAKA","560043","313.33","0","0","-12.53","15.04","0","0","-1.50","0","0","0","-25.96","0","288.38","Deferred",
"25 May 2026 8:32:31 am UTC","27129776332","Shipping Services","406-7657260-5875553","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
